identifier,title,date,creator,venue,url
ajc0176_modernadvances2015-02-14,Modern Advances Live at Quenchers Saloon 2015-02-14,2/14/15,Modern Advances,Quenchers Saloon 2015-02-14,https://archive.org/details/ajc0176_modernadvances2015-02-14
ajc01770_rhys-chatham-2016-05-20,Rhys Chatham Live at Constellation 2016-05-20,5/20/16,Rhys Chatham,Constellation 2016-05-20,https://archive.org/details/ajc01770_rhys-chatham-2016-05-20
ajc01771_futurepunx2016-05-23.ajcproject,Future Punx Live at Empty Bottle on 2016-05-23,5/23/16,Future Punx,Empty Bottle,https://archive.org/details/ajc01771_futurepunx2016-05-23.ajcproject
ajc01772_peach-kelli-pop_2016-05-23,Peach Kelli Pop Live at Empty Bottle 2016-05-23,5/23/16,Peach Kelli Pop,Empty Bottle 2016-05-23,https://archive.org/details/ajc01772_peach-kelli-pop_2016-05-23
ajc01773_torture_love_2016-05-23,Torture Love Live at Empty Bottle 2016-05-23,5/23/16,Torture Love,Empty Bottle 2016-05-23,https://archive.org/details/ajc01773_torture_love_2016-05-23
ajc01774_kim_2016-05-24,Kim Live at Hideout 2016-05-24,5/24/16,Kim,Hideout 2016-05-24,https://archive.org/details/ajc01774_kim_2016-05-24
ajc01775_urinals2016-05-26,Urinals Live at Hideout 2016-05-26,5/28/16,Urinals,Hideout 2016-05-26,https://archive.org/details/ajc01775_urinals2016-05-26
ajc01776_meatwave2016-06-25,Meat Wave Live at Logan Square Arts Festival 2016-06-25,6/25/16,Meat Wave,Logan Square Arts Festival 2016-06-25,https://archive.org/details/ajc01776_meatwave2016-06-25
ajc01777_smoking_popes_2016-06-25,Smoking Popes Live at Elston Avenue Sausage and Music Fest 2016-06-25,6/25/16,Smoking Popes,Elston Avenue Sausage and Music Fest 2016-06-25,https://archive.org/details/ajc01777_smoking_popes_2016-06-25
ajc01778_hey_mercedes_2016-07-07,Hey Mercedes Live at Subterranean 2016-07-07,7/7/16,Hey Mercedes,Subterranean 2016-07-07,https://archive.org/details/ajc01778_hey_mercedes_2016-07-07
ajc01779_prawn_2016-07-07,Prawn Live at Subterranean 2016-07-07,7/7/16,Prawn,Subterranean 2016-07-07,https://archive.org/details/ajc01779_prawn_2016-07-07
ajc01780_gotobeds_2016-07-09,The Gotobeds Live at West Fest 2016-07-09,7/9/16,The Gotobeds,West Fest 2016-07-09,https://archive.org/details/ajc01780_gotobeds_2016-07-09
ajc01781_melkbelly_2016-07-09,Melkbelly Live at West Fest 2016-07-09,7/9/16,Melkbelly,West Fest 2016-07-09,https://archive.org/details/ajc01781_melkbelly_2016-07-09
ajc01782_mike_krol_2016-07-09,Mike Krol Live at West Fest 2016-07-09,7/9/16,Mike Krol,West Fest 2016-07-09,https://archive.org/details/ajc01782_mike_krol_2016-07-09
ajc01783_cloud_nothings_2016-07-10,Cloud Nothings Live at West Fest 2016-07-10,7/10/16,Cloud Nothings,West Fest 2016-07-10,https://archive.org/details/ajc01783_cloud_nothings_2016-07-10
ajc01784_cheer-accident_2016-07-16,Cheer-Accident Live at 1618 Humboldt 2016-07-16,7/16/16,Cheer-Accident,1618 Humboldt 2016-07-16,https://archive.org/details/ajc01784_cheer-accident_2016-07-16
ajc01785_housesitters2016-07-23,Housesitters Live at Township 2016-07-23,7/23/16,Housesitters,Township 2016-07-23,https://archive.org/details/ajc01785_housesitters2016-07-23
ajc01786_jacksonmud2016-07-23,Jackson Mud Live at Township 2016-07-23,7/23/16,Jackson Mud,Township 2016-07-23,https://archive.org/details/ajc01786_jacksonmud2016-07-23
ajc01787_john-san-juan-2016-07-23,John San Juan Live at Township 2016-07-23,7/23/16,John San Juan,Township 2016-07-23,https://archive.org/details/ajc01787_john-san-juan-2016-07-23
ajc01788_chrisligon2016-08-06,Chris Ligon Live at Prop House 2016-08-06,8/6/16,Chris Ligon,Prop House 2016-08-06,https://archive.org/details/ajc01788_chrisligon2016-08-06
ajc01789_sex-ritter-2016-11-18,Sex Ritter Live at Gman Tavern 2016-11-18,11/18/16,Sex Ritter,Gman Tavern 2016-11-18,https://archive.org/details/ajc01789_sex-ritter-2016-11-18
ajc01790_sunshine-boys-2016-11-18,Sunshine Boys Live at Gman Tavern 2016-11-18,11/18/16,Sunshine Boys,Gman Tavern 2016-11-18,https://archive.org/details/ajc01790_sunshine-boys-2016-11-18
