identifier,title,date,creator,venue,url
0120_freakons2013-09-22,Freakons Live at The Hideout 2013-09-22,9/22/13,Freakons,The Hideout 2013-09-22,https://archive.org/details/0120_freakons2013-09-22
0122_bas2013-07-20,Belle & Sebastian Live at Pitchfork Music Festival on 2013-07-20,7/20/13,Belle & Sebastian,Pitchfork Music Festival,https://archive.org/details/0122_bas2013-07-20
0123_bjork2013-07-19,Björk Live at Pitchfork Music Festival 2013-07-19,7/19/13,Björk,Pitchfork Music Festival 2013-07-19,https://archive.org/details/0123_bjork2013-07-19
0124_breeders2013-07-20,Breeders Live at Pitchfork Festival 2013-07-20,7/20/13,Breeders,Pitchfork Festival 2013-07-20,https://archive.org/details/0124_breeders2013-07-20
0125_eternals2013-07-13,The Eternals Live at Constellation 2013-07-13,7/13/13,The Eternals,Constellation 2013-07-13,https://archive.org/details/0125_eternals2013-07-13
0126_girlgroupchi2013-07-13,Girl Group Chicago Live at West Fest 2013-07-13,7/13/13,Girl Group Chicago,West Fest 2013-07-13,https://archive.org/details/0126_girlgroupchi2013-07-13
0128_wjraynovich2013-07-14,William Jason Raynovich Live at Constellation 2013-07-14,7/14/13,William Jason Raynovich,Constellation 2013-07-14,https://archive.org/details/0128_wjraynovich2013-07-14
0129_muccapazza2013-05-27,Mucca Pazza Live at Tour de Fat at Palmer Square 2013-05-27,7/13/13,Mucca Pazza,Tour de Fat at Palmer Square 2013-05-27,https://archive.org/details/0129_muccapazza2013-05-27
0130_reggiewatts2013-07-13,Reggie Watts Live at Constellation on 2013-07-13,7/13/13,Reggie Watts,Constellation,https://archive.org/details/0130_reggiewatts2013-07-13
0131_reggiewatts2013-07-13,Reggie Watts Live at Saki on 2013-07-13,7/13/13,Reggie Watts,Saki,https://archive.org/details/0131_reggiewatts2013-07-13
0132_reggiewatts2013-07-13,Reggie Watts Live at Tour de Fat at Palmer Square on 2013-07-13,7/13/13,Reggie Watts,Tour de Fat at Palmer Square,https://archive.org/details/0132_reggiewatts2013-07-13
0133_timmsbean2013-07-182013-07-18,Sally Timms and Janet Bean Live at The Hideout on 2013-07-18,7/18/13,Sally Timms,The Hideout,https://archive.org/details/0133_timmsbean2013-07-182013-07-18
0134_wire2013-07-19,Wire Live at Pitchfork Festival - Union Park 2013-07-19,7/19/13,Wire,Pitchfork Festival - Union Park 2013-07-19,https://archive.org/details/0134_wire2013-07-19
0135_butchershop-quartet-2013-05-26,The Butchershop Quartet Live at Township 2013-05-26,5/26/13,The Butchershop Quartet,Township 2013-05-26,https://archive.org/details/0135_butchershop-quartet-2013-05-26
0136_crucifagium2013-05-26,Crucifagium Live at Township 2013-05-26,5/26/13,Crucifagium,Township 2013-05-26,https://archive.org/details/0136_crucifagium2013-05-26
0137_matt-clark-2013-05-26,Matt Clark Live at Township 2013-05-26,5/26/13,Matt Clark,Township 2013-05-26,https://archive.org/details/0137_matt-clark-2013-05-26
0138_chandeliers_2013-05-14,Chandeliers Live at The Hideout 2013-05-14,5/14/13,Chandeliers,The Hideout 2013-05-14,https://archive.org/details/0138_chandeliers_2013-05-14
0139_chandeliers_2013-05-21,Chandeliers Live at The Hideout 2013-05-21,5/21/13,Chandeliers,The Hideout 2013-05-21,https://archive.org/details/0139_chandeliers_2013-05-21
0140_cheer-accident_2013-06-22,Cheer-Accident Live at Mayne Stage 2013-06-22,6/22/13,Cheer-Accident,Mayne Stage 2013-06-22,https://archive.org/details/0140_cheer-accident_2013-06-22
0141_fotg_2013-07-11,Friends of the Gamelan Live at Jay Pritzker Pavilion - Millennium Park 2013-07-11,7/11/13,Friends of the Gamelan,Jay Pritzker Pavilion - Millennium Park 2013-07-11,https://archive.org/details/0141_fotg_2013-07-11
0142_dd_2013-07-11,Dan Deacon Live at Jay Pritzker Pavilion Millennium Park 2013-07-11,7/11/13,Dan Deacon,Jay Pritzker Pavilion Millennium Park 2013-07-11,https://archive.org/details/0142_dd_2013-07-11
0143_lee-ranaldo-2013-05-27,Lee Ranaldo & The Dust Live at Pritzker Pavilion - Millennium Park 2013-05-27,5/27/13,Lee Ranaldo & The Dust,Pritzker Pavilion - Millennium Park 2013-05-27,https://archive.org/details/0143_lee-ranaldo-2013-05-27
0144_mribotceramicdog2013-05-27,Marc Ribot's Ceramic Dog Live at Millennium Park - Chicago 2013-05-27,5/27/13,Marc Ribot's Ceramic Dog,Millennium Park - Chicago 2013-05-27,https://archive.org/details/0144_mribotceramicdog2013-05-27
0145_pcp-2013-06-28,Portland Cello Project Live at The Hideout 2013-06-28,6/28/13,Portland Cello Project,The Hideout 2013-06-28,https://archive.org/details/0145_pcp-2013-06-28
0146_pm_2013-06-29,Pretty Monsters Live at The Hideout 2013-06-29,6/29/13,Pretty Monsters,The Hideout 2013-06-29,https://archive.org/details/0146_pm_2013-06-29
0147_spektral2013-06-29,Spektral Quartet Live at The Hideout 2013-06-29,6/29/13,Spektral Quartet,The Hideout 2013-06-29,https://archive.org/details/0147_spektral2013-06-29
0148_paper-machete-2013-06-29,Paper Machete Live at The Green Mill Cocktail Lounge 2013-06-29,6/29/13,Various Artists,The Green Mill Cocktail Lounge 2013-06-29,https://archive.org/details/0148_paper-machete-2013-06-29
0149_edd2013-06-16,Eleventh Dream Day Live at The Hideout on 2013-06-16,6/16/13,Eleventh Dream Day,The Hideout,https://archive.org/details/0149_edd2013-06-16
0150_azita2015-07-24,Azita Live at The Hideout 2015-07-24,7/24/15,Azita,The Hideout 2015-07-24,https://archive.org/details/0150_azita2015-07-24
0151_bs2015-04-04.ajcproject,Belle & Sebastian Live at Overture  Center for the Arts on 2015-04-04,4/4/15,Belle & Sebastian,Overture  Center for the Arts,https://archive.org/details/0151_bs2015-04-04.ajcproject
0153_big-joy-2015-06-27,Big Joy Live at Schubas Tavern 2015-06-27,6/27/15,Big Joy,Schubas Tavern 2015-06-27,https://archive.org/details/0153_big-joy-2015-06-27
0155_cloudnothings2015-06-27,Cloud Nothings Live at Logan Square Arts Festival 2015-06-27,6/27/15,Cloud Nothings,Logan Square Arts Festival 2015-06-27,https://archive.org/details/0155_cloudnothings2015-06-27
0156_jakemckelvieandthecountertops2015-07-19,Jake McKelvie & The Countertops Live at Uncommon Ground 2015-07-19,7/19/15,Jake McKelvie & The Countertops,Uncommon Ground 2015-07-19,https://archive.org/details/0156_jakemckelvieandthecountertops2015-07-19
0157_craftspells2015-03-19,Craft Spells Live at Schubas Tavern 2015-03-19,3/19/15,Craft Spells,Schubas Tavern 2015-03-19,https://archive.org/details/0157_craftspells2015-03-19
0158_darkfog2015-05-25,Dark Fog Live at Empty Bottle 2015-05-25,5/25/15,Dark Fog,Empty Bottle 2015-05-25,https://archive.org/details/0158_darkfog2015-05-25
0159_demerits2015-02-14,The Demerits Live at Quenchers Saloon 2015-02-14,2/14/15,The Demerits,Quenchers Saloon 2015-02-14,https://archive.org/details/0159_demerits2015-02-14
0160_dp2015-07-12,Diarrhea Planet Live at West Fest 2015-07-12,7/12/15,Diarrhea Planet,West Fest 2015-07-12,https://archive.org/details/0160_dp2015-07-12
0162_grifters-2015-01-15,Grifters Live at Schubas Tavern 2015-01-15,1/15/15,Grifters,Schubas Tavern 2015-01-15,https://archive.org/details/0162_grifters-2015-01-15
0163_guitartrio2015-04-26,Guitar Trio Live at Eric Chial's House 2015-04-26,4/26/15,Guitar Trio,Eric Chial's House 2015-04-26,https://archive.org/details/0163_guitartrio2015-04-26
0164_hawley2015-05-01.ajcproject,Hawley Shoffner Live at Quenchers Saloon on 2015-05-01,5/1/15,Hawley Shoffner,Quenchers Saloon,https://archive.org/details/0164_hawley2015-05-01.ajcproject
0166_heat_2015-01-15,Heat Live at Schubas Tavern 2015-01-15,1/15/15,Heat,Schubas Tavern 2015-01-15,https://archive.org/details/0166_heat_2015-01-15
0168_honeyblood_2015-04-04,Honeyblood Live at Capitol Theater 2015-04-04,4/4/15,Honeyblood,Capitol Theater 2015-04-04,https://archive.org/details/0168_honeyblood_2015-04-04
0169_honeyblood_2015-04-03,Honeyblood Live at Riviera Theatre 2015-04-03,4/3/15,Honeyblood,Riviera Theatre 2015-04-03,https://archive.org/details/0169_honeyblood_2015-04-03
0170_hungrymtn_2015-07-19,Hungry Mountain Live at Uncommon Ground 2015-07-19,7/19/15,Hungry Mountain,Uncommon Ground 2015-07-19,https://archive.org/details/0170_hungrymtn_2015-07-19
0171_hushdrops_2015-04-11,Hushdrops LIve at The Hideout 2015-04-11,4/11/15,Hushdrops,The Hideout 2015-04-11,https://archive.org/details/0171_hushdrops_2015-04-11
0172_invisible-things-2015-05-25,Invisible Things Live at The Empty Bottle 2015-05-25,5/25/15,Invisible Things,The Empty Bottle 2015-05-25,https://archive.org/details/0172_invisible-things-2015-05-25
0173_j-fernandez-2015-01-15,J Fernandez Live at Schubas Tavern 2015-01-15,1/15/15,J Fernandez,Schubas Tavern 2015-01-15,https://archive.org/details/0173_j-fernandez-2015-01-15
0174_lala-lala-2015-06-29,Lala Lala Live at Empty Bottle 2015-06-29,6/29/15,Lala Lala,Empty Bottle 2015-06-29,https://archive.org/details/0174_lala-lala-2015-06-29
0177_mooner2015-05-11,Mooner Live at Empty Bottle 2015-05-11,5/11/15,Mooner,Empty Bottle 2015-05-11,https://archive.org/details/0177_mooner2015-05-11
0178_mysteries2015-01-10,The Mysteries of Life Live at Schubas Tavern 2015-01-10,1/10/15,The Mysteries Of Life,Schubas Tavern 2015-01-10,https://archive.org/details/0178_mysteries2015-01-10
0179_neil-dixon-smith-2015-04-26,Neil Dixon Smith Live at Eric Chial's House 2015-04-26,4/26/15,Neil Dixon Smith,Eric Chial's House 2015-04-26,https://archive.org/details/0179_neil-dixon-smith-2015-04-26
0181_PeachKelliPop2015-04-13,Peach Kelli Pop Live at Empty Bottle 2015-04-13,4/13/15,Peach Kelli Pop,Empty Bottle 2015-04-13,https://archive.org/details/0181_PeachKelliPop2015-04-13
0182_plastic-crimewave-syndicate-2015-05-25,Plastic Crimewave Syndicate Live at Empty Bottle 2015-05-25,5/25/15,Plastic Crimewave Syndicate,Empty Bottle 2015-05-25,https://archive.org/details/0182_plastic-crimewave-syndicate-2015-05-25
0184_rubs2015-05-11,The Rubs Live at Empty Bottle 2015-05-11,5/11/15,The Rubs,Empty Bottle 2015-05-11,https://archive.org/details/0184_rubs2015-05-11
0186_sebadoh2015-05-29,Sebadoh Live at Schubas Tavern 2015-05-29,5/29/15,Sebadoh,Schubas Tavern 2015-05-29,https://archive.org/details/0186_sebadoh2015-05-29
0189_strangercat2015-05-29,Stranger Cat Live at Schubas Tavern 2015-05-29,5/29/15,Stranger Cat,Schubas Tavern 2015-05-29,https://archive.org/details/0189_strangercat2015-05-29
0190_swirlies_2015-07-12,Swirlies Live at West Fest 2015-07-12,7/12/15,Swirlies,West Fest 2015-07-12,https://archive.org/details/0190_swirlies_2015-07-12
0191_bilinidabutchers2015-03-19,Bilinda Butchers Live at Schubas Tavern 2015-03-19,3/19/15,Bilinda Butchers,Schubas Tavern 2015-03-19,https://archive.org/details/0191_bilinidabutchers2015-03-19
0192_tinyfireflies2015-05-01,Tiny Fireflies Live at Quenchers 2015-05-01,5/1/15,Tiny Fireflies,Quenchers 2015-05-01,https://archive.org/details/0192_tinyfireflies2015-05-01
0195_totalbabes2015-06-27,Total Babes Live at Schubas Tavern 2015-06-27,6/27/15,Total Babes,Schubas Tavern 2015-06-27,https://archive.org/details/0195_totalbabes2015-06-27
0197_thebats2013-06-09,The Bats Live at Schubas Tavern 2013-06-09,6/9/13,The Bats,Schubas Tavern 2013-06-09,https://archive.org/details/0197_thebats2013-06-09
0199_gnuman_2013-06-22,Gnuman Live at Mayne Stage 2013-06-22,6/22/13,Gnuman,Mayne Stage 2013-06-22,https://archive.org/details/0199_gnuman_2013-06-22
0202_alla2013-09-23,Allá Live at The Whistler 2013-09-23,9/23/13,Allá,The Whistler 2013-09-23,https://archive.org/details/0202_alla2013-09-23
0208_breeders_2013-12-14,The Breeders Live at Metro 2013-12-14,12/14/13,The Breeders,Metro 2013-12-14,https://archive.org/details/0208_breeders_2013-12-14
0210_brokeback_2013-09-28,Brokeback Live at The Hideout 2013-09-28,9/28/13,Brokeback,The Hideout 2013-09-28,https://archive.org/details/0210_brokeback_2013-09-28
0211_brokeback_2015-07-23,Brokeback Live at Schubas Tavern 2015-07-23,7/23/15,Brokeback,Schubas Tavern 2015-07-23,https://archive.org/details/0211_brokeback_2015-07-23
0212_carter-family-family-show-2013-08-12,Carter Family Family Show Live at The Hideout 2013-08-12,8/12/13,Carter Family Family Show,The Hideout 2013-08-12,https://archive.org/details/0212_carter-family-family-show-2013-08-12
0213_cheer-accident_2015-06-19,Cheer-Accident with Lovely Little Girls Live at Martyrs' 2015-06-19,6/19/15,Cheer-Accident with Lovely Little Girls,Martyrs' 2015-06-19,https://archive.org/details/0213_cheer-accident_2015-06-19
0214_claire-chase-2013-09-29,Claire Chase Live at Constellation 2013-09-29,9/29/13,Claire Chase,Constellation 2013-09-29,https://archive.org/details/0214_claire-chase-2013-09-29
0215_decoyprayermeeting2015-05-30,Decoy Prayer Meeting Live at Wire 2015-05-30,5/30/15,Decoy Prayer Meeting,Wire 2015-05-30,https://archive.org/details/0215_decoyprayermeeting2015-05-30
Mekons2007-10-12,Mekons Live at The Mutiny on 2007-10-12,10/12/07,Mekons,The Mutiny,https://archive.org/details/Mekons2007-10-12
abird2004-08-19,Andrew Bird Live at Schubas Tavern on 2004-08-19,8/19/04,Andrew Bird,Schubas Tavern,https://archive.org/details/abird2004-08-19
acj0209_brokeback-2013-10-13,Brokeback Live at The Empty Bottle 2013-10-13,10/13/13,Brokeback,The Empty Bottle 2013-10-13,https://archive.org/details/acj0209_brokeback-2013-10-13
ajc00007_hooker1996-04-20,Hooker Live at Lounge Ax 1996-04-20,4/20/96,Hooker,Lounge Ax 1996-04-20,https://archive.org/details/ajc00007_hooker1996-04-20
ajc00010_sarge_1996-06-26,Sarge Live at Lounge Ax 1996-06-26,6/26/96,Sarge,Lounge Ax 1996-06-26,https://archive.org/details/ajc00010_sarge_1996-06-26
ajc00020_ditch-croaker-1996-07-20,Ditch Croaker Live at Lounge Ax 1996-07-20,7/20/96,Ditch Croaker,Lounge Ax 1996-07-20,https://archive.org/details/ajc00020_ditch-croaker-1996-07-20
ajc00021_the-super-friendz-1996-07-26,The Super Friendz Live at Fireside Bowl 1996-07-26,7/26/96,The Super Friendz,Fireside Bowl 1996-07-26,https://archive.org/details/ajc00021_the-super-friendz-1996-07-26
ajc00023_sarge_1996-08-02,Sarge Live at Fireside Bowl 1996-08-02,8/2/96,Sarge,Fireside Bowl 1996-08-02,https://archive.org/details/ajc00023_sarge_1996-08-02
ajc00032_smattering_1996-08-24,Smattering Live at Lounge Ax 1996-08-24,8/24/96,Smattering,Lounge Ax 1996-08-24,https://archive.org/details/ajc00032_smattering_1996-08-24
ajc00035_sportsguitar_1996-09-07,Sportsguitar Live at Empty Bottle 1996-09-07,9/7/96,Sportsguitar,Empty Bottle 1996-09-07,https://archive.org/details/ajc00035_sportsguitar_1996-09-07
ajc00038_ashtray_boy_1996-10-03,Ashtray Boy Live at Empty Bottle 1996-10-03,10/3/96,Ashtray Boy,Empty Bottle 1996-10-03,https://archive.org/details/ajc00038_ashtray_boy_1996-10-03
ajc00040_space-cookie-1996-10-05,Space Cookie Live at Empty Bottle 1996-10-05,10/5/96,Space Cookie,Empty Bottle 1996-10-05,https://archive.org/details/ajc00040_space-cookie-1996-10-05
ajc00042_brock-meyers-1996-10-10,Brock Meyers Live at Fireside Bowl 1996-10-10,10/10/96,Brock Meyers,Fireside Bowl 1996-10-10,https://archive.org/details/ajc00042_brock-meyers-1996-10-10
ajc00050_spent_1996-11-08,Spent Live at Lounge Ax 1996-11-08,11/8/96,Spent,Lounge Ax 1996-11-08,https://archive.org/details/ajc00050_spent_1996-11-08
ajc00061_stlj-1997-03-16,Sweep The Leg Johnny Live at Fireside Bowl 1997-03-16,3/16/97,Sweep The Leg Johnny,Fireside Bowl 1997-03-16,https://archive.org/details/ajc00061_stlj-1997-03-16
ajc00068_electrosonics-1997-05-21,The Electrosonics Live at Lounge Ax 1997-05-21,5/21/97,The Electrosonics,Lounge Ax 1997-05-21,https://archive.org/details/ajc00068_electrosonics-1997-05-21
ajc00069_lambchop_1997-05-31,Lambchop Live at Metro 1997-05-31,5/31/97,Lambchop,Metro 1997-05-31,https://archive.org/details/ajc00069_lambchop_1997-05-31
ajc00073_singleton_1997-06-20,Singleton Live at Lounge Ax 1997-06-20,6/20/97,Singleton,Lounge Ax 1997-06-20,https://archive.org/details/ajc00073_singleton_1997-06-20
ajc00074_aluminum_group_1997-06-20,The Aluminum Group Live at Lounge Ax 1997-06-20,6/20/97,The Aluminum Group,Lounge Ax 1997-06-20,https://archive.org/details/ajc00074_aluminum_group_1997-06-20
ajc00076_autumn_leaves_1997-06-21,The Autumn Leaves Live at Lounge Ax 1997-06-21,6/21/97,The Autumn Leaves,Lounge Ax 1997-06-21,https://archive.org/details/ajc00076_autumn_leaves_1997-06-21
ajc00077_super_friendz_1997-06-21,The Super Friendz Live at Lounge Ax 1997-06-21,6/21/97,The Super Friendz,Lounge Ax 1997-06-21,https://archive.org/details/ajc00077_super_friendz_1997-06-21
ajc00078_mount-pilot-1997-07-11,Mount Pilot Live at Empty Bottle 1997-07-11,7/11/97,Mount Pilot,Empty Bottle 1997-07-11,https://archive.org/details/ajc00078_mount-pilot-1997-07-11
ajc00079_cowboy-suit-1997-07-24,Cowboy Suit Live at Fireside Bowl 1997-07-24,7/24/97,Cowboy Suit,Fireside Bowl 1997-07-24,https://archive.org/details/ajc00079_cowboy-suit-1997-07-24
ajc00081_viewmaster_1997-08-07,Viewmaster Live at Lounge Ax 1997-08-07,8/7/97,Viewmaster,Lounge Ax 1997-08-07,https://archive.org/details/ajc00081_viewmaster_1997-08-07
ajc00082_thax-1957-show-1997-08-21,Thax Douglas 1957 Show Live at Lounge Ax 1997-08-21,8/21/97,Thax Douglas 1957 Show,Lounge Ax 1997-08-21,https://archive.org/details/ajc00082_thax-1957-show-1997-08-21
ajc00083_museum_1997-08-30,Museum Live at Lounge Ax 1997-08-30,8/30/97,Museum,Lounge Ax 1997-08-30,https://archive.org/details/ajc00083_museum_1997-08-30
ajc00084_aluminum_group_1997-09-02,The Aluminum Group Live at Fireside Bowl 1997-09-02,9/2/97,The Aluminum Group,Fireside Bowl 1997-09-02,https://archive.org/details/ajc00084_aluminum_group_1997-09-02
ajc00085_baxter-1997-09-06,Baxter Live at Fireside Bowl 1997-09-06,9/6/97,Baxter,Fireside Bowl 1997-09-06,https://archive.org/details/ajc00085_baxter-1997-09-06
ajc00086_iggy-yoakum-1997-09-11,Iggy Yoakum Live at Lounge Ax 1997-09-11,9/11/97,Iggy Yoakum,Lounge Ax 1997-09-11,https://archive.org/details/ajc00086_iggy-yoakum-1997-09-11
ajc00087_aluminum_group_1997-09-13,The Aluminum Group Live at Mike's Moonlite Luv Cruise 1997-09-13,9/13/97,The Aluminum Group,Mike's Moonlite Luv Cruise 1997-09-13,https://archive.org/details/ajc00087_aluminum_group_1997-09-13
ajc00088_poundsign_1997-09-23,Poundsign Live at Ida Noyes Hall - Univ. Chicago 1997-09-23,9/23/97,Poundsign,Ida Noyes Hall - Univ. Chicago 1997-09-23,https://archive.org/details/ajc00088_poundsign_1997-09-23
ajc00091_gracebraun1997-10-18,Grace Braun Live at Lounge Ax 1997-10-18,10/18/97,Grace Braun,Lounge Ax 1997-10-18,https://archive.org/details/ajc00091_gracebraun1997-10-18
ajc00092_lftwc_1997-10-12,Lullaby for the Working Class Live at Lounge Ax 1997-10-12,10/12/97,Lullaby for the Working Class,Lounge Ax 1997-10-12,https://archive.org/details/ajc00092_lftwc_1997-10-12
ajc000967_braid-2011-08-27,Braid Live at Metro 2011-08-27,8/27/11,Braid,Metro 2011-08-27,https://archive.org/details/ajc000967_braid-2011-08-27
ajc00096_hydraulic_sea_1997-11-14,Hydraulic Sea Live at Fireside Bowl 1997-11-14,11/14/97,Hydraulic Sea,Fireside Bowl 1997-11-14,https://archive.org/details/ajc00096_hydraulic_sea_1997-11-14
ajc00097_lowereastsidestitches1997-11-15,Lower East Side Stitches Live at Fireside Bowl 1997-11-15,11/15/97,Lower East Side Stitches,Fireside Bowl 1997-11-15,https://archive.org/details/ajc00097_lowereastsidestitches1997-11-15
ajc00098_kelly-hogan_1997-11-18,Kelly Hogan Live at Empty Bottle 1997-11-18,11/18/97,Kelly Hogan,Empty Bottle 1997-11-18,https://archive.org/details/ajc00098_kelly-hogan_1997-11-18
ajc00099_arrivals-1997-11-21,Arrivals Live at Village Hall 1997-11-21,11/21/97,The Arrivals,Village Hall 1997-11-21,https://archive.org/details/ajc00099_arrivals-1997-11-21
ajc00102_cursive_1997-11-30,Cursive Live at Fireside Bowl 1997-11-30,11/30/97,Cursive,Fireside Bowl 1997-11-30,https://archive.org/details/ajc00102_cursive_1997-11-30
ajc00103_stlj-1998-01-03,Sweep The Leg Johnny Live at Empty Bottle 1998-01-03,1/3/98,Sweep The Leg Johnny,Empty Bottle 1998-01-03,https://archive.org/details/ajc00103_stlj-1998-01-03
ajc00104_lozenge1998-01-22,Lozenge Live at Empty Bottle 1998-01-22,11/28/89,Lozenge,Empty Bottle 1998-01-22,https://archive.org/details/ajc00104_lozenge1998-01-22
ajc00105_gracebraun1998-01-24,Grace Braun Live at Lounge Ax 1998-01-24,1/24/98,Grace Braun,Lounge Ax 1998-01-24,https://archive.org/details/ajc00105_gracebraun1998-01-24
ajc00106_3-days-1998-02-13,3 Days Live at Fireside Bowl 1998-02-13,2/13/98,3 Days,Fireside Bowl 1998-02-13,https://archive.org/details/ajc00106_3-days-1998-02-13
ajc00109_slr1998-02-21.ajcproject,Split Lip Rayfield Live at Empty Bottle on 1998-02-21,2/21/98,Split Lip Rayfield,Empty Bottle,https://archive.org/details/ajc00109_slr1998-02-21.ajcproject
ajc00112_countrymelvins1998-02-21,The Country Melvins Live at Empty Bottle 1998-02-21,2/21/98,The Country Melvins,Empty Bottle 1998-02-21,https://archive.org/details/ajc00112_countrymelvins1998-02-21
ajc00114_horace_pinker_1998-03-07,Horace Pinker Live at Fireside Bowl 1998-03-07,3/7/98,Horace Pinker,Fireside Bowl 1998-03-07,https://archive.org/details/ajc00114_horace_pinker_1998-03-07
ajc00116_groovieghoulies_1998-03-13,Groovie Ghoulies Live at Fireside Bowl 1998-03-13,3/13/98,Groovie Ghoulies,Fireside Bowl 1998-03-13,https://archive.org/details/ajc00116_groovieghoulies_1998-03-13
ajc00120_rodeoboy1998-03-25,Rodeo Boy Live at Lounge Ax 1998-03-25,3/25/98,Rodeo Boy,Lounge Ax 1998-03-25,https://archive.org/details/ajc00120_rodeoboy1998-03-25
ajc00122_moonshinewilly1998-04-04,Moonshine Willy Live at Lounge Ax 1998-04-04,4/4/98,Moonshine Willy,Lounge Ax 1998-04-04,https://archive.org/details/ajc00122_moonshinewilly1998-04-04
ajc00123_the-hollers-trio-1998-04-05,The Hollers Trio Live at Lounge Ax 1998-04-05,4/5/98,The Hollers Trio,Lounge Ax 1998-04-05,https://archive.org/details/ajc00123_the-hollers-trio-1998-04-05
ajc00124_paulinahollers1998-04-10,Paulina Hollers Live at Logan Beach 1998-04-10,4/10/98,Paulina Hollers,Logan Beach 1998-04-10,https://archive.org/details/ajc00124_paulinahollers1998-04-10
ajc00125_slink-moss-1998-04-11,Slink Moss Live at Lounge Ax 1998-04-11,4/11/98,Slink Moss,Lounge Ax 1998-04-11,https://archive.org/details/ajc00125_slink-moss-1998-04-11
ajc00127_managra-1998-05-01,Managra Live at Fireside Bowl 1998-05-01,5/1/98,Managra,Fireside Bowl 1998-05-01,https://archive.org/details/ajc00127_managra-1998-05-01
ajc00129_insomniacs-1998-05-23,The Insomniacs Live at The Quaker Goes Deaf 1998-05-23,5/23/98,The Insomniacs,The Quaker Goes Deaf 1998-05-23,https://archive.org/details/ajc00129_insomniacs-1998-05-23
ajc00131_chain_driven_trio_1998-05-31,Chain Driven Trio Live at Beat Kitchen 1998-05-31,5/31/98,Chain Driven Trio,Beat Kitchen 1998-05-31,https://archive.org/details/ajc00131_chain_driven_trio_1998-05-31
ajc00133_splash-four-1998-06-13,The Splash Four Live at The Quaker Goes Deaf 1998-06-13,6/13/98,The Splash Four,The Quaker Goes Deaf 1998-06-13,https://archive.org/details/ajc00133_splash-four-1998-06-13
ajc00135_fuguers-cove-1998-06-24,Fuguers Cove Live at Lounge Ax 1998-06-24,6/24/98,Fuguers Cove,Lounge Ax 1998-06-24,https://archive.org/details/ajc00135_fuguers-cove-1998-06-24
ajc00136_3-way-grady-1998-08-11,3 Way Grady Live at Lounge Ax 1998-08-11,8/11/98,3 Way Grady,Lounge Ax 1998-08-11,https://archive.org/details/ajc00136_3-way-grady-1998-08-11
ajc00138_aden-1998-10-17,Aden Live at Empty Bottle 1998-10-17,10/17/98,Aden,Empty Bottle 1998-10-17,https://archive.org/details/ajc00138_aden-1998-10-17
ajc00140_chrismills1999-02-13,Chris Mills Live at Empty Bottle 1999-02-13,2/13/99,Chris Mills,Empty Bottle 1999-02-13,https://archive.org/details/ajc00140_chrismills1999-02-13
ajc00147_supperbellroundup2000-02-14,Supperbell Roundup Live at Empty Bottle 2000-02-14,2/14/00,Supperbell Roundup,Empty Bottle 2000-02-14,https://archive.org/details/ajc00147_supperbellroundup2000-02-14
ajc00154_soscared_2001-02-07,So Scared Live at Hideout - Chicago's Finest Hour 2001-02-07,2/7/01,So Scared,Hideout - Chicago's Finest Hour 2001-02-07,https://archive.org/details/ajc00154_soscared_2001-02-07
ajc00159_bric-a-brac2001-06-24,Bric-a-Brac Live at Hideout 2001-06-24,6/24/01,Bric-a-Brac,Hideout 2001-06-24,https://archive.org/details/ajc00159_bric-a-brac2001-06-24
ajc00162_niki_mitchell_trio_2001-09-06,The Niki Mitchell Trio Live at Empty Bottle 2001-09-06,9/6/01,The Niki Mitchell Trio,Empty Bottle 2001-09-06,https://archive.org/details/ajc00162_niki_mitchell_trio_2001-09-06
ajc00166_yum-yum_1996-04-20,Yum-Yum Live at Lounge Ax 1996-04-20,4/20/96,Yum-Yum,Lounge Ax 1996-04-20,https://archive.org/details/ajc00166_yum-yum_1996-04-20
ajc00167_chixdiggit-1996-06-26,Chixdiggit Live at Lounge Ax 1996-06-26,6/26/96,Chixdiggit,Lounge Ax 1996-06-26,https://archive.org/details/ajc00167_chixdiggit-1996-06-26
ajc00175_magicalbeautiful2015-06-29,Magical Beautiful Live at Empty Bottle 2015-06-29,6/29/15,Magical Beautiful,Empty Bottle 2015-06-29,https://archive.org/details/ajc00175_magicalbeautiful2015-06-29
ajc00176_spatula-1996-07-20,Spatula Live at Lounge Ax 1996-07-20,7/20/96,Spatula,Lounge Ax 1996-07-20,https://archive.org/details/ajc00176_spatula-1996-07-20
ajc00177_hushdrops_1996-07-26,Hushdrops Live at Fireside Bowl 1996-07-26,7/26/96,Hushdrops,Fireside Bowl 1996-07-26,https://archive.org/details/ajc00177_hushdrops_1996-07-26
ajc00185_alastairgalbraith1996-09-07,Alastair Galbraith Live at Empty Bottle 1996-09-07,9/7/96,Alastair Galbraith,Empty Bottle 1996-09-07,https://archive.org/details/ajc00185_alastairgalbraith1996-09-07
ajc00188_orbit1996-10-05,Orbit Live at Empty Bottle 1996-10-05,10/5/96,Orbit,Empty Bottle 1996-10-05,https://archive.org/details/ajc00188_orbit1996-10-05
ajc00190_teen-idols-1996-10-10,Teen Idols Live at Fireside Bowl 1996-10-10,10/10/96,Teen Idols,Fireside Bowl 1996-10-10,https://archive.org/details/ajc00190_teen-idols-1996-10-10
